date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
1995/1/1,city of london,91449,E09000001,17,,1
1995/2/1,city of london,82203,E09000001,7,,1
1995/3/1,city of london,79121,E09000001,14,,1
1995/4/1,city of london,77101,E09000001,7,,1
1995/5/1,city of london,84409,E09000001,10,,1
1995/6/1,city of london,94901,E09000001,17,,1
1995/7/1,city of london,110128,E09000001,13,,1
1995/8/1,city of london,112329,E09000001,14,,1
1995/9/1,city of london,104473,E09000001,17,,1
1995/10/1,city of london,108038,E09000001,14,,1
1995/11/1,city of london,117636,E09000001,11,,1
1995/12/1,city of london,127232,E09000001,18,,1
1996/1/1,city of london,108999,E09000001,17,,1
1996/2/1,city of london,93357,E09000001,10,,1
1996/3/1,city of london,93707,E09000001,17,,1
1996/4/1,city of london,120543,E09000001,14,,1
1996/5/1,city of london,112050,E09000001,19,,1
1996/6/1,city of london,114226,E09000001,28,,1
1996/7/1,city of london,97547,E09000001,30,,1
1996/8/1,city of london,114179,E09000001,25,,1
1996/9/1,city of london,108138,E09000001,32,,1
1996/10/1,city of london,98934,E09000001,33,,1
1996/11/1,city of london,99707,E09000001,31,,1
1996/12/1,city of london,106427,E09000001,26,,1
1997/1/1,city of london,116343,E09000001,22,,1
1997/2/1,city of london,111142,E09000001,37,,1
1997/3/1,city of london,107488,E09000001,70,,1
1997/4/1,city of london,108480,E09000001,19,,1
1997/5/1,city of london,115453,E09000001,12,,1
1997/6/1,city of london,118317,E09000001,21,,1
1997/7/1,city of london,117034,E09000001,26,,1
1997/8/1,city of london,113585,E09000001,9,,1
1997/9/1,city of london,115159,E09000001,22,,1
1997/10/1,city of london,121251,E09000001,22,,1
1997/11/1,city of london,131074,E09000001,18,,1
1997/12/1,city of london,130035,E09000001,37,,1
1998/1/1,city of london,124382,E09000001,48,,1
1998/2/1,city of london,143829,E09000001,43,,1
1998/3/1,city of london,156508,E09000001,39,,1
1998/4/1,city of london,163403,E09000001,28,,1
1998/5/1,city of london,143625,E09000001,30,,1
1998/6/1,city of london,132251,E09000001,32,,1
1998/7/1,city of london,140377,E09000001,17,,1
1998/8/1,city of london,148993,E09000001,34,,1
1998/9/1,city of london,152807,E09000001,40,,1
1998/10/1,city of london,162020,E09000001,42,,1
1998/11/1,city of london,152387,E09000001,23,,1
1998/12/1,city of london,155801,E09000001,48,,1
1999/1/1,city of london,149143,E09000001,41,,1
1999/2/1,city of london,164545,E09000001,31,,1
1999/3/1,city of london,174586,E09000001,53,,1
1999/4/1,city of london,191157,E09000001,28,,1
1999/5/1,city of london,191081,E09000001,35,,1
1999/6/1,city of london,185993,E09000001,63,,1
1999/7/1,city of london,164056,E09000001,42,,1
1999/8/1,city of london,160905,E09000001,58,,1
1999/9/1,city of london,166193,E09000001,30,,1
1999/10/1,city of london,163490,E09000001,29,,1
1999/11/1,city of london,175143,E09000001,29,,1
1999/12/1,city of london,169309,E09000001,97,,1
2000/1/1,city of london,173738,E09000001,24,,1
2000/2/1,city of london,174152,E09000001,55,,1
2000/3/1,city of london,178339,E09000001,48,,1
2000/4/1,city of london,183101,E09000001,58,,1
2000/5/1,city of london,175041,E09000001,38,,1
2000/6/1,city of london,198191,E09000001,60,,1
2000/7/1,city of london,214852,E09000001,33,,1
2000/8/1,city of london,221952,E09000001,22,,1
2000/9/1,city of london,223175,E09000001,20,,1
2000/10/1,city of london,245062,E09000001,19,,1
2000/11/1,city of london,321773,E09000001,18,,1
2000/12/1,city of london,314772,E09000001,33,,1
2001/1/1,city of london,284262,E09000001,24,0,1
2001/2/1,city of london,198137,E09000001,37,0,1
2001/3/1,city of london,189033,E09000001,44,0,1
2001/4/1,city of london,205494,E09000001,38,0,1
2001/5/1,city of london,223459,E09000001,30,0,1
2001/6/1,city of london,242435,E09000001,36,0,1
2001/7/1,city of london,230700,E09000001,40,0,1
2001/8/1,city of london,231632,E09000001,30,0,1
2001/9/1,city of london,229806,E09000001,30,0,1
2001/10/1,city of london,263887,E09000001,26,0,1
2001/11/1,city of london,346458,E09000001,15,0,1
2001/12/1,city of london,362204,E09000001,17,0,1
2002/1/1,city of london,344239,E09000001,30,0,1
2002/2/1,city of london,284015,E09000001,12,0,1
2002/3/1,city of london,253697,E09000001,47,0,1
2002/4/1,city of london,245313,E09000001,31,0,1
2002/5/1,city of london,227281,E09000001,30,0,1
2002/6/1,city of london,253130,E09000001,25,0,1
2002/7/1,city of london,262428,E09000001,26,0,1
2002/8/1,city of london,274016,E09000001,51,0,1
2002/9/1,city of london,277047,E09000001,49,0,1
2002/10/1,city of london,271941,E09000001,19,0,1
2002/11/1,city of london,280283,E09000001,28,0,1
2002/12/1,city of london,262197,E09000001,44,0,1
2003/1/1,city of london,261645,E09000001,32,0,1
2003/2/1,city of london,263992,E09000001,20,0,1
2003/3/1,city of london,291969,E09000001,31,0,1
2003/4/1,city of london,295174,E09000001,30,0,1
2003/5/1,city of london,284860,E09000001,38,0,1
2003/6/1,city of london,267208,E09000001,84,0,1
2003/7/1,city of london,260204,E09000001,48,0,1
2003/8/1,city of london,245449,E09000001,46,0,1
2003/9/1,city of london,243184,E09000001,38,0,1
2003/10/1,city of london,252980,E09000001,33,0,1
2003/11/1,city of london,277515,E09000001,42,0,1
2003/12/1,city of london,305556,E09000001,38,0,1
2004/1/1,city of london,326913,E09000001,98,0,1
2004/2/1,city of london,301092,E09000001,16,0,1
2004/3/1,city of london,272731,E09000001,20,0,1
2004/4/1,city of london,269514,E09000001,25,0,1
2004/5/1,city of london,280062,E09000001,22,0,1
2004/6/1,city of london,297421,E09000001,38,0,1
2004/7/1,city of london,298293,E09000001,34,0,1
2004/8/1,city of london,307094,E09000001,46,0,1
2004/9/1,city of london,305126,E09000001,27,0,1
2004/10/1,city of london,289912,E09000001,24,0,1
2004/11/1,city of london,333075,E09000001,13,0,1
2004/12/1,city of london,331161,E09000001,14,0,1
2005/1/1,city of london,330363,E09000001,17,0,1
2005/2/1,city of london,288867,E09000001,18,0,1
2005/3/1,city of london,304851,E09000001,18,0,1
2005/4/1,city of london,317398,E09000001,32,0,1
2005/5/1,city of london,311442,E09000001,20,0,1
2005/6/1,city of london,282866,E09000001,33,0,1
2005/7/1,city of london,283641,E09000001,29,0,1
2005/8/1,city of london,305351,E09000001,26,0,1
2005/9/1,city of london,310906,E09000001,37,0,1
2005/10/1,city of london,338837,E09000001,14,0,1
2005/11/1,city of london,327256,E09000001,29,0,1
2005/12/1,city of london,339626,E09000001,30,0,1
2006/1/1,city of london,316121,E09000001,19,0,1
2006/2/1,city of london,323653,E09000001,17,0,1
2006/3/1,city of london,325106,E09000001,28,0,1
2006/4/1,city of london,319580,E09000001,24,0,1
2006/5/1,city of london,313126,E09000001,22,0,1
2006/6/1,city of london,304977,E09000001,29,0,1
2006/7/1,city of london,338307,E09000001,25,0,1
2006/8/1,city of london,358438,E09000001,30,0,1
2006/9/1,city of london,377545,E09000001,24,0,1
2006/10/1,city of london,365177,E09000001,33,0,1
2006/11/1,city of london,354438,E09000001,21,0,1
2006/12/1,city of london,365755,E09000001,22,0,1
2007/1/1,city of london,360923,E09000001,20,0,1
2007/2/1,city of london,399437,E09000001,25,7,1
2007/3/1,city of london,403144,E09000001,28,7,1
2007/4/1,city of london,419005,E09000001,22,7,1
2007/5/1,city of london,411183,E09000001,22,5,1
2007/6/1,city of london,436079,E09000001,19,10,1
2007/7/1,city of london,467348,E09000001,32,3,1
2007/8/1,city of london,473887,E09000001,27,8,1
2007/9/1,city of london,463525,E09000001,23,0,1
2007/10/1,city of london,456422,E09000001,19,0,1
2007/11/1,city of london,450831,E09000001,22,0,1
2007/12/1,city of london,464277,E09000001,11,0,1
2008/1/1,city of london,471861,E09000001,16,0,1
2008/2/1,city of london,453707,E09000001,33,0,1
2008/3/1,city of london,404849,E09000001,6,0,1
2008/4/1,city of london,382571,E09000001,5,0,1
2008/5/1,city of london,389733,E09000001,29,0,1
2008/6/1,city of london,420665,E09000001,9,0,1
2008/7/1,city of london,442352,E09000001,11,0,1
2008/8/1,city of london,472397,E09000001,8,0,1
2008/9/1,city of london,466082,E09000001,6,0,1
2008/10/1,city of london,440012,E09000001,9,0,1
2008/11/1,city of london,396155,E09000001,2,0,1
2008/12/1,city of london,387178,E09000001,6,0,1
2009/1/1,city of london,400317,E09000001,5,0,1
2009/2/1,city of london,393361,E09000001,6,0,1
2009/3/1,city of london,399220,E09000001,8,0,1
2009/4/1,city of london,345338,E09000001,9,0,1
2009/5/1,city of london,373504,E09000001,6,0,1
2009/6/1,city of london,348751,E09000001,18,0,1
2009/7/1,city of london,379109,E09000001,20,0,1
2009/8/1,city of london,360545,E09000001,20,0,1
2009/9/1,city of london,391138,E09000001,19,0,1
2009/10/1,city of london,399867,E09000001,19,0,1
2009/11/1,city of london,397909,E09000001,11,0,1
2009/12/1,city of london,411955,E09000001,16,0,1
2010/1/1,city of london,464436,E09000001,20,0,1
2010/2/1,city of london,490525,E09000001,9,0,1
2010/3/1,city of london,498241,E09000001,15,0,1
2010/4/1,city of london,458246,E09000001,22,,1
2010/5/1,city of london,454928,E09000001,21,,1
2010/6/1,city of london,428120,E09000001,29,,1
2010/7/1,city of london,420234,E09000001,24,,1
2010/8/1,city of london,442597,E09000001,21,,1
2010/9/1,city of london,455290,E09000001,20,,1
2010/10/1,city of london,456016,E09000001,12,,1
2010/11/1,city of london,430305,E09000001,12,,1
2010/12/1,city of london,445016,E09000001,31,,1
2011/1/1,city of london,442413,E09000001,16,,1
2011/2/1,city of london,504009,E09000001,12,,1
2011/3/1,city of london,475353,E09000001,19,,1
2011/4/1,city of london,516319,E09000001,21,,1
2011/5/1,city of london,459477,E09000001,28,,1
2011/6/1,city of london,466525,E09000001,22,,1
2011/7/1,city of london,420435,E09000001,19,,1
2011/8/1,city of london,421486,E09000001,27,,1
2011/9/1,city of london,436019,E09000001,25,,1
2011/10/1,city of london,450034,E09000001,21,,1
2011/11/1,city of london,478809,E09000001,21,,1
2011/12/1,city of london,496291,E09000001,24,,1
2012/1/1,city of london,525723,E09000001,11,,1
2012/2/1,city of london,510537,E09000001,17,,1
2012/3/1,city of london,527408,E09000001,9,,1
2012/4/1,city of london,524290,E09000001,12,,1
2012/5/1,city of london,573532,E09000001,12,,1
2012/6/1,city of london,542518,E09000001,21,,1
2012/7/1,city of london,543037,E09000001,16,,1
2012/8/1,city of london,496168,E09000001,17,,1
2012/9/1,city of london,525971,E09000001,15,,1
2012/10/1,city of london,521769,E09000001,17,,1
2012/11/1,city of london,521448,E09000001,22,,1
2012/12/1,city of london,491529,E09000001,28,,1
2013/1/1,city of london,465451,E09000001,16,,1
2013/2/1,city of london,499207,E09000001,20,,1
2013/3/1,city of london,527874,E09000001,18,,1
2013/4/1,city of london,590685,E09000001,13,,1
2013/5/1,city of london,578037,E09000001,31,,1
2013/6/1,city of london,662700,E09000001,11,,1
2013/7/1,city of london,651116,E09000001,29,,1
2013/8/1,city of london,645847,E09000001,94,,1
2013/9/1,city of london,529619,E09000001,104,,1
2013/10/1,city of london,527374,E09000001,54,,1
2013/11/1,city of london,546793,E09000001,22,,1
2013/12/1,city of london,615401,E09000001,21,,1
2014/1/1,city of london,625001,E09000001,26,,1
2014/2/1,city of london,648359,E09000001,17,,1
2014/3/1,city of london,654629,E09000001,36,,1
2014/4/1,city of london,665262,E09000001,19,,1
2014/5/1,city of london,682663,E09000001,22,,1
2014/6/1,city of london,697309,E09000001,21,,1
2014/7/1,city of london,724282,E09000001,15,,1
2014/8/1,city of london,761544,E09000001,27,,1
2014/9/1,city of london,753704,E09000001,18,,1
2014/10/1,city of london,763369,E09000001,12,,1
2014/11/1,city of london,762735,E09000001,39,,1
2014/12/1,city of london,773768,E09000001,71,,1
2015/1/1,city of london,783667,E09000001,37,,1
2015/2/1,city of london,760550,E09000001,39,,1
2015/3/1,city of london,767207,E09000001,35,,1
2015/4/1,city of london,729148,E09000001,21,,1
2015/5/1,city of london,762815,E09000001,24,,1
2015/6/1,city of london,776509,E09000001,19,,1
2015/7/1,city of london,779097,E09000001,17,,1
2015/8/1,city of london,760243,E09000001,18,,1
2015/9/1,city of london,767464,E09000001,35,,1
2015/10/1,city of london,781358,E09000001,21,,1
2015/11/1,city of london,741727,E09000001,11,,1
2015/12/1,city of london,713253,E09000001,31,,1
2016/1/1,city of london,736788,E09000001,15,,1
2016/2/1,city of london,765644,E09000001,36,,1
2016/3/1,city of london,794754,E09000001,35,,1
2016/4/1,city of london,805320,E09000001,7,,1
2016/5/1,city of london,845579,E09000001,9,,1
2016/6/1,city of london,907965,E09000001,7,,1
2016/7/1,city of london,911827,E09000001,7,,1
2016/8/1,city of london,848269,E09000001,8,,1
2016/9/1,city of london,780527,E09000001,8,,1
2016/10/1,city of london,792664,E09000001,11,,1
2016/11/1,city of london,818663,E09000001,16,,1
2016/12/1,city of london,811786,E09000001,13,,1
2017/1/1,city of london,820305,E09000001,11,,1
2017/2/1,city of london,820665,E09000001,9,,1
2017/3/1,city of london,853943,E09000001,18,,1
2017/4/1,city of london,906146,E09000001,20,,1
2017/5/1,city of london,939912,E09000001,21,,1
2017/6/1,city of london,930979,E09000001,19,,1
2017/7/1,city of london,854798,E09000001,20,,1
2017/8/1,city of london,847422,E09000001,21,,1
